class name,average area
person,11177.115990862394
bicycle,7414.126599732885
car,4635.537763637814
motorcycle,17941.51836828653
airplane,20179.112941888998
bus,40215.638933687595
train,52722.98896577336
truck,20121.227371247373
boat,8193.07942071754
traffic light,1687.050199177274
fire hydrant,18768.001576890078
stop sign,17653.669692536565
parking meter,17028.765041206225
bench,11581.953772794266
bird,5001.556208740514
cat,42475.91404518666
dog,26998.20313997821
horse,17176.889017701535
sheep,6839.385020722473
cow,10464.068798447282
elephant,27547.490944812263
bear,44350.14607747295
zebra,19432.585292117667
giraffe,20012.1921199961
backpack,3830.6305376605505
umbrella,8495.524857658998
handbag,2933.179952602396
tie,4004.5105532635466
suitcase,16803.590798328485
frisbee,3727.9063644108874
skis,1494.2640935901293
snowboard,4348.219995865922
sports ball,813.6351960453757
kite,2591.0702309111944
baseball bat,1440.338482234432
baseball glove,1734.4754821323727
skateboard,3609.7319836731012
surfboard,6218.339956962129
tennis racket,3929.759901070241
bottle,2627.101643182565
wine glass,4201.339170371541
cup,4625.641085353511
fork,2176.386155949991
knife,2025.7816699935647
spoon,1711.1524270640712
bowl,17008.407003733108
banana,9151.600720670333
apple,6798.977417826012
sandwich,27653.054108380977
orange,7840.629166736991
broccoli,9359.627348323755
carrot,3679.2790789353035
hot dog,16499.422860726525
pizza,46061.18923949493
donut,9615.260726424292
cake,21027.222797103732
chair,5683.713101831597
couch,33471.87132156948
potted plant,9272.533447041149
bed,77344.72790196803
dining table,69634.02758102964
toilet,23927.62527480154
tv,19209.33085838932
laptop,24734.794901780686
mouse,3192.744616158267
remote,3204.143918972471
keyboard,15823.430890140104
cell phone,5427.289185118122
microwave,17869.762564793782
oven,34605.82301115777
toaster,8772.876564222222
sink,9896.82473258467
refrigerator,46092.44200151687
book,3092.1662709690468
clock,6535.575326523524
vase,8625.149501943142
scissors,7803.043870290344
teddy bear,21908.647909409556
hair drier,5389.544805555555
toothbrush,3066.755894268168
